GOA	RepOver	RepCov	Gene	Locus	GeneLen	Product
NA	0	0	NA	SIRV2gp01	252	hypothetical protein
NA	0	0	NA	SIRV2gp02	360	hypothetical protein
NA	0	0	NA	SIRV2gp03	312	hypothetical protein
NA	0	0	NA	SIRV2gp04	273	hypothetical protein
NA	0	0	NA	SIRV2gp05	330	hypothetical protein
NA	1	47	NA	SIRV2gp06	351	hypothetical protein
NA	0	0	NA	SIRV2gp07	396	hypothetical protein
NA	0	0	NA	SIRV2gp08	312	hypothetical protein
NA	0	0	NA	SIRV2gp09	336	hypothetical protein
NA	0	0	NA	SIRV2gp10	318	hypothetical protein
NA	0	0	NA	SIRV2gp11	189	hypothetical protein
NA	0	0	NA	SIRV2gp12	309	hypothetical protein
NA	0	0	NA	SIRV2gp13	933	hypothetical protein
GOA:Q8V9Q4	0	0	NA	SIRV2gp14	1200	hypothetical protein
GOA:Q8V9Q3	0	0	NA	SIRV2gp15	171	hypothetical protein
NA	0	0	NA	SIRV2gp16	360	hypothetical protein
NA	0	0	NA	SIRV2gp17	396	hypothetical protein
NA	0	0	NA	SIRV2gp18	1311	hypothetical protein
NA	0	0	NA	SIRV2gp19	624	hypothetical protein
NA	0	0	NA	SIRV2gp20	255	hypothetical protein
GOA:Q8V9P7	0	0	NA	SIRV2gp21	180	hypothetical protein
NA	0	0	NA	SIRV2gp22	276	hypothetical protein
GOA:Q8V9P5	0	0	dut	SIRV2gp23	477	hypothetical protein
NA	0	0	NA	SIRV2gp24	312	hypothetical protein
NA	0	0	NA	SIRV2gp25	231	hypothetical protein
NA	0	0	NA	SIRV2gp26	405	hypothetical protein
GOA:Q8V9P1	0	0	NA	SIRV2gp27	168	hypothetical protein
GOA:Q8V9P0	0	0	NA	SIRV2gp28	1008	hypothetical protein
NA	0	0	NA	SIRV2gp29	471	hypothetical protein
NA	0	0	NA	SIRV2gp30	195	hypothetical protein
NA	0	0	NA	SIRV2gp31	255	hypothetical protein
NA	0	0	NA	SIRV2gp32	333	hypothetical protein
NA	0	0	NA	SIRV2gp33	1467	hypothetical protein
NA	0	0	NA	SIRV2gp34	465	hypothetical protein
GOA:Q98VP8	0	0	NA	SIRV2gp35	366	hypothetical protein
NA	0	0	NA	SIRV2gp36	210	hypothetical protein
NA	0	0	NA	SIRV2gp37	345	hypothetical protein
NA	0	0	NA	SIRV2gp38	3213	hypothetical protein
NA	0	0	NA	SIRV2gp39	1704	hypothetical protein
NA	0	0	NA	SIRV2gp40	930	hypothetical protein
NA	0	0	NA	SIRV2gp41	477	hypothetical protein
NA	0	0	NA	SIRV2gp42	810	hypothetical protein
NA	1	39	NA	SIRV2gp43	531	hypothetical protein
GOA:Q8V9M5	0	0	NA	SIRV2gp44	1071	hypothetical protein
NA	0	0	NA	SIRV2gp45	285	hypothetical protein
NA	0	0	NA	SIRV2gp46	288	hypothetical protein
NA	0	0	NA	SIRV2gp47	339	hypothetical protein
NA	0	0	NA	SIRV2gp48	750	hypothetical protein
NA	0	0	NA	SIRV2gp49	297	hypothetical protein
NA	0	0	NA	SIRV2gp50	222	hypothetical protein
NA	0	0	NA	SIRV2gp51	327	hypothetical protein
NA	0	0	NA	SIRV2gp52	318	hypothetical protein
NA	0	0	NA	SIRV2gp53	360	hypothetical protein
NA	0	0	NA	SIRV2gp54	252	hypothetical protein
